Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Age
M,0.6,0.475,0.205,1.176,0.5255,0.2875,0.308,9
F,0.625,0.485,0.15,1.0945,0.531,0.261,0.296,10
M,0.71,0.555,0.195,1.9485,0.9455,0.3765,0.495,12
I,0.44,0.35,0.11,0.3805,0.1575,0.0895,0.115,6
M,0.475,0.37,0.11,0.4895,0.2185,0.107,0.146,8
M,0.475,0.36,0.14,0.5135,0.241,0.1045,0.155,8
I,0.48,0.355,0.11,0.4495,0.201,0.089,0.14,8
F,0.56,0.44,0.135,0.8025,0.35,0.1615,0.259,9
F,0.585,0.475,0.165,1.053,0.458,0.217,0.3,11
F,0.585,0.455,0.17,0.9945,0.4255,0.263,0.2845,11
M,0.385,0.255,0.1,0.3175,0.137,0.068,0.092,8
I,0.39,0.31,0.085,0.344,0.181,0.0695,0.079,7
I,0.39,0.29,0.1,0.2845,0.1255,0.0635,0.081,7
I,0.405,0.3,0.085,0.3035,0.15,0.0505,0.088,7
I,0.475,0.365,0.115,0.499,0.232,0.0885,0.156,10
M,0.5,0.38,0.125,0.577,0.269,0.1265,0.1535,9
F,0.515,0.4,0.125,0.615,0.2865,0.123,0.1765,8
M,0.52,0.385,0.165,0.791,0.375,0.18,0.1815,10
M,0.55,0.43,0.13,0.8395,0.3155,0.1955,0.2405,10
M,0.56,0.43,0.155,0.8675,0.4,0.172,0.229,8
F,0.565,0.45,0.165,0.887,0.37,0.239,0.249,11
M,0.59,0.44,0.135,0.966,0.439,0.2145,0.2605,10
